description,sentiment,PClass,PConfidence,SClass,SConfidence
customer conflict            Mr Mohammed got into a conflict with a customer which he sat next toHe moved from his original seat to the one next to this customer and then tried to make this customer move to another seat as to get some extra space for him and his friend      Emirates property         Mr Mohammed was seeing putting unused blankets into his Duty Free bag for disembarkation When told about it he just removed that plastic and put the blanket back into his bag He was insisted and finally left the blankets in the seats,neutral,Security,Please manually Review,Suspicious Behaviour,Please manually Review
Closest heading             The Arabic coffee pot had a broken spout I requested a replacement pot,negative,Medical,Please manually Review,Passenger,1
All outbound toys bags used             Please note as there were around 100 children on board  all the outbound toys bag were used up and most Children wanted to have a back pack which was impossible to provide,negative,Product Development,Please manually Review,Ground to Pur Msgs,Please manually Review
4 D's           After receiving the PUR note from the previous flight (from 2days before our flight) about excess alcohol consumption of this customer and his accompanying group of friends 4D's were introduced during the flight,neutral,Security,0.927853149,General,0.981454244
(written in inoperative category  as no category for  smoke detector)                      Lavatory smoke detector obstruction   Notice During we care schedule that smoke detector in toilet ( C )  at L2 station was obstructed with tissues  No smoke or cigarette smell were noticed,negative,Safety,Please manually Review,Smoking,0.977741584
Toilet 3MF at ML3 Inop for service             Toilet had to be locked for the entire flight do to inoperative water faucet which had no water coming out of it,negative,Safety,Please manually Review,Passenger Behaviour,0.861494678
"Customer didn't comply with the crew instructions 3 times during the flight              When the seatbelt sign was on, with crew seated after the captain made a passenger announcement, Mrs Sadhwani was observed using the restroom When asked to remain seated for safety purpose she stated: '' I really need to use the toilet, you're not going to stop me'' Customer was observed doing the same scenarios twice after the first incident and came to the galley to ask for wine and was observed using the lavatory after being asked to remain seated",neutral,Security,Please manually Review,General,0.975587497
CREW FEEBACK FOR DESSERT CHEESE FRUITS HOT BEVERAGE           Observed crew members struggling to clear half cabin for dessert service to take order  asked their feedback regarding it All crew stated that as customers are eating at different,neutral,Product Development,0.80667256,Ground to Pur Msgs,0.919781877
"Changes to service start timing          TOD: 14:45 DXB timing  JC Lunch service started at 11:45  YC service started by 12:15   Reason, Captain communicated to me Moderate turbulence expected at14:30  It was agreed to have the cabin ready se",neutral,Product Development,0.799660434,YC SSQ Errors,Please manually Review
change of seal           After closing duty free and sealing it I realised I left my DF pouch inside,negative,Airport,Please manually Review,Dubai,0.952414928
"Upper deck equipment not loaded               During the galley handover, the crew found that the several containers of water, minerals, amenities, meal carts, special meals etc in the upper deck galley were not loaded",neutral,Product Development,Please manually Review,Ground to Pur Msgs,0.948546832
"Skywards issue               Mr Duczenko wanted to upgrade to JC using his miles and this was doneWhile I was doing the upgrade on the KIS, the system got stuck and didn't register the first attemptThe system accepted the second attempt and he was successfully upgraded to JCLater when I checked his profile, I saw two upgrade attempts registered on the same flight from 59A to 23G charging him 57500 miles each and it couldn't be reverted",neutral,Emirates Skywards,Please manually Review,Transactions,0.848616516
"SERVICE RECOVERY                  Just after take off, Mr Almeida informed cabin crew Adam (447911) that water spilling from the galley ice drawer had gotten his socks wet",neutral,Medical,Please manually Review,Passenger,0.887496221
SEEMED UNIMPRESSED                 Mr Petersen  initially was not impressed that we had to do breakfast before the drinks service During breakfast service he suggested to have blood Mary drinks before his breakfast instead After breakfast c,negative,Product Development,Please manually Review,Ground to Pur Msgs,1
"Seat recline           3 hours after take off, Ms Saito wanted to sleep and asked her bed to be preparedWhile preparing the bed, crew member noticed that the seat does not go fully flat as the footrest is pointing a little bit down",negative,Safety,Please manually Review,Passenger Behaviour,0.979231645
iO Customer                iO Customer Mr Ortiz was escorted by the ambassador from DXB Station  He was looked after very well during the flight all his requests were met,neutral,Emirates Skywards,Please manually Review,IO customers,0.994638995
Customer 9E feedback             Customer sitting 9 E Mr Osama Salamah ((971503228244) insist to leave his contact because in case you want to confirm about crew performance) he wants to say thank you for the whole business class team   He,positive,Cabin Crew,Please manually Review,Complaints,0.878915217
"IFE             1 hour after take off, Ms Hammarstrom informed crew member that her mode controller was not functioning properly",neutral,Product Development,Please manually Review,Ground to Pur Msgs,0.990226921
"FC customers experience               All 08 customers including the IO were escorted to their suitesAll of them were welcomed and offered the menus on groundAfter take off only 1E,2E,2A chose to eatAs a courtesy, I brought 33K(IO's son) to 7J to be able to disembark together and this was hugely appreciated by the IO(Mr Al Ansari)All customers were consistently looked after and they all thanked for the attentionNo IFE or service issues were brought to my attentionAll customers left thanking the crew for the service",neutral,Cabin Crew,Please manually Review,Compliments,0.992678719
duty free target              duty free target was met and exceeded the duty free target should be 6000DHS  crew made sale of 6800DHS,neutral,Duty Free,Please manually Review,Duty Free Targets,0.990574107
INTOXICATED CUSTOMER                During cruising noticed that Mr Berge had half opened bottle of alcohol (glenfiddich) with him on a duty bag  He retrieved the bottle of whisky from the duty  free bag ready to consume it on board  Aft,positive,Security,0.973142446,General,0.967033451
"IFE INOP                 After take off ,an hour into the flight the IFE stop working, a couple of reset was done but it  did not work,11F volunteered to swap seat since He was not watching anything but the customer declined Kindly ensure IFE is working on her this sectors",neutral,Cabin Crew,Please manually Review,Compliments,Please manually Review
"IFE             During the dinner service, Mrs Otterhem informed crew memebr that her son's IFE at 17B  was inoperative",neutral,Cabin Crew,Please manually Review,Compliments,0.962622511
"Customer claim he was promised extra seats         Customer claimed that , he was promised  seats together for him to stretch as he is a WCHR customerCustomer showed frustration as he did not get what he claimed , was promised to him by EK staff",neutral,Airport,0.953343735,Dubai,0.942903113
"CREW MEMBER EXCEED TARGET,              Samia exceeded the duty free target which is 2700AED Amount sold 5045AED",neutral,Duty Free,Please manually Review,Duty Free Targets,0.979232684
Stopped Working during the service                      During the DCF part of the lunch service the KIS and MOD failed to synchronize  They were all connected to the UAECREW wifi and none of them were talking to each other for about 30 minutes  No reliable when it is needed the most,negative,Product Development,0.82326266,JC SSQ Errors,0.84955205
SEAT CHANGE              Mr Ksobiech was request to move from his original seat 21J to 14F so that Mr and Mrs Bevins (originally seated at 14E & 14F )could seat near each other as they did not want to be seperated after 14E became completely inoperative and Mr Bevins was moved to 21G,neutral,Airport,Please manually Review,Dubai,0.971132587
Item availability         Item 2074 from drawer 1 was unavailable in both carts and it was not on the NIL stock list,negative,Duty Free,Please manually Review,Duty Free Items,0.845126314
customer experience follow up                     All customers were welcomed on board and taken to their suite I handed them over menu and wine list to explain them the dine on demand serviceDuring farewell nothing has been mentioned and they stated they had a great flight,positive,Cabin Crew,Please manually Review,Compliments,0.988938928
"Safe Talk            During briefing ,crew member Marilia failed to answer 2 GMT questions",neutral,Security,Please manually Review,General,0.810631029
"NO AUDIO             The customer brought to our attention that her Headset was not working ,the  Headset was changed but the was no Audio The customer was seated in 10J and her husband was seated in 10K The husband swapped seat and she continued watching her movie",neutral,Airport,Please manually Review,Dubai,0.954287684
VJML REQUEST               Mrs Joshi claim that she request for VJML when she purchase her ticket few months ago VJML was not provided,negative,Airport,Please manually Review,Dubai,0.963892415
VJML REQUEST               Mrs Joshi claim that she request for VJML when she purchase her ticket few months ago VJML was not provided,negative,Airport,Please manually Review,Dubai,0.963892415
"WAS NOT IMPRESSED WITH MEAL CHOICE         Mr Rajangam was not impressed with fish choice offered on the menu though he requested during dinner service Claimed even the service was not that great,stating that he wanted some peanut and",negative,Security,Please manually Review,General,0.967173662
IFE INOPERATIVE                 Mr Broadbanks stated that his IFE was Sticking  Customer was previously seated at 8J,neutral,Security,Please manually Review,General,0.902401933
"hard working and considerate crew                 during the flight it was observed that anwar was very hard working crew and very considerate toward his colleagues  both ways anwar was offering help to work in different cabin wihout being asked to do so in the way anwar after he finished and as we had only one customer in FC and was full in JC he went down to JC to give help without being asked he was offering a great help for both sides buy delivering trays and as well buy collecting and delivering the chess ,dessert and fruits  in many occasion he was observed offering and arranging drinks and food for his colleagues in different cabin which contribute in creating as strong teamwork spirit",positive,Cabin Crew,0.805072143,Compliments,0.966881659
