description,sentiment,PClass,PConfidence,SClass,SConfidence
"Abusive behaviour toward crew members       GR2 Hani Staff  came to me and informed me that the passenger was shouting at him when he tried to re arrange the over head space items to make room for baggage  the passenger had 5 duty free bags spread over the hat rack  when Hani tried to rearrange the items, Mr Memon shouted at him, you better not touch that  Hani informed me that when he tried to explain to him that he is trying to make room for other customer's Mr Memon told Hani: This is not my problem  Later on, when Hani tried to stow the passenger's bag in the hat rack for take off the passenger shouted at him telling him that it will stay there and he wants to speak to his senior",negative,Security,0.71586787,Suspicious Behaviour,0.808385173
INTERNET CONNEXION VS CREW           Mr Ali did not know why his skywards number was not working for the wifi on board  Mr Ali approached Maha s419721 and asked why it was not working  Maha s419721 stated that she asked Mr Ali about his skyward,neutral,Emirates Skywards,0.72081979,Product Feedback,0.990246869
Unhappy customer          When the senior went to welcome MrMcgaw on ground he stated that its been really unpleasant experience of him with Emirates Customer said that he is not been given his preferred seat from last three flights and also his bags are been left behind him on his previous flights Customer stated that because he is Qantas customer he doesn't get better service on Emirates flights Customer was fine later on and slept for the flight,neutral,Emirates Skywards,0.726669059,Product Feedback,Please manually Review
SEAT CHANGE              Mr Ksobiech was request to move from his original seat 21J to 14F so that Mr and Mrs Bevins (originally seated at 14E & 14F )could seat near each other as they did not want to be seperated after 14E became completely inoperative and Mr Bevins was moved to 21G,neutral,Airport,0.732962434,Dubai,0.970441485
"IFE INOP                 After take off ,an hour into the flight the IFE stop working, a couple of reset was done but it  did not work,11F volunteered to swap seat since He was not watching anything but the customer declined Kindly ensure IFE is working on her this sectors",neutral,Cabin Crew,0.73482609,Payroll adjustments,0.791663093
Stopped Working during the service                      During the DCF part of the lunch service the KIS and MOD failed to synchronize  They were all connected to the UAECREW wifi and none of them were talking to each other for about 30 minutes  No reliable when it is needed the most,negative,Product Development,0.742677369,JC SSQ Errors,Please manually Review
PA from Flight Deck            Mr Alashaari informed me that he was happy and very satisfied with the service but she maintained that there was no PA from the flight deck for the delay  He said it would be nice to be informed,positive,Cabin Crew,0.775918931,Compliments,0.987059816
"ILLNESS            MRS lamyaa on top of descent when the seat belt sign turned on for landing, her family mentioned that she has a fever and high body temperature LAMYAA father mentioned that lamyaa and her brothers are sick as well Customer had a PANADL tablets in her hands",neutral,Medical,0.776468684,Passenger,0.990855628
"Safe Talk            During briefing ,crew member Marilia failed to answer 2 GMT questions",neutral,Cabin Crew,0.791335007,Complaints,0.985931421
"CUSTOMER INCOVENIENCED DUE TO MULTIPLE ISSUES           During boarding customer sat at 9B  Seat Mode controller showed loading , after take off Customer when moved to 9A, his window shade could not be closed",neutral,Airport,0.798496027,Dubai,0.975216772
Customer complaint           Customer complained about 12C seat not reclining  Customer also complained that 12B seat was broken and does not stay in the recline position Customer described the seats it is shit if front of the other customers and crew CSVPaulette witnessed the situation and advised the rest of the crew about  the situation and customer's complaint Customer apologized to me about his language,negative,Security,0.802762084,General,0.899770806
customer conflict            Mr Mohammed got into a conflict with a customer which he sat next toHe moved from his original seat to the one next to this customer and then tried to make this customer move to another seat as to get some extra space for him and his friend      Emirates property         Mr Mohammed was seeing putting unused blankets into his Duty Free bag for disembarkation When told about it he just removed that plastic and put the blanket back into his bag He was insisted and finally left the blankets in the seats,neutral,Airport,0.811811072,Outstation,0.967281222
Crew operated higher grade       CCM Natalyia 414378 was pulled out on her day OFF to operate as FG1 on this flight,neutral,Cabin Crew,0.817892442,Compliments,1
"FC customers experience               All 08 customers including the IO were escorted to their suitesAll of them were welcomed and offered the menus on groundAfter take off only 1E,2E,2A chose to eatAs a courtesy, I brought 33K(IO's son) to 7J to be able to disembark together and this was hugely appreciated by the IO(Mr Al Ansari)All customers were consistently looked after and they all thanked for the attentionNo IFE or service issues were brought to my attentionAll customers left thanking the crew for the service",neutral,Cabin Crew,0.848919667,Compliments,0.975170139
Wine spillage          Mr Michel was having red wine  A young traveller at 8E dropped the wine glass at Mr Michel seat while he was having his dessert,neutral,Airport,0.853420379,Outstation,0.798586068
INTOXICATED CUSTOMER                During cruising noticed that Mr Berge had half opened bottle of alcohol (glenfiddich) with him on a duty bag  He retrieved the bottle of whisky from the duty  free bag ready to consume it on board  Aft,positive,Security,0.864270873,General,0.820991071
"hard working and considerate crew                 during the flight it was observed that anwar was very hard working crew and very considerate toward his colleagues  both ways anwar was offering help to work in different cabin wihout being asked to do so in the way anwar after he finished and as we had only one customer in FC and was full in JC he went down to JC to give help without being asked he was offering a great help for both sides buy delivering trays and as well buy collecting and delivering the chess ,dessert and fruits  in many occasion he was observed offering and arranging drinks and food for his colleagues in different cabin which contribute in creating as strong teamwork spirit",positive,Cabin Crew,0.874203418,Compliments,0.967890807
"NO AUDIO             The customer brought to our attention that her Headset was not working ,the  Headset was changed but the was no Audio The customer was seated in 10J and her husband was seated in 10K The husband swapped seat and she continued watching her movie",neutral,Airport,0.87938171,Dubai,0.965194604
Customer Did Not Receive HIs Special Meal                 Customer claimed that he had ordered for AVML but at the last minute He said his agent had booked one for him,neutral,Airport,0.883016776,Dubai,0.960028617
customer experience follow up                     All customers were welcomed on board and taken to their suite I handed them over menu and wine list to explain them the dine on demand serviceDuring farewell nothing has been mentioned and they stated they had a great flight,positive,Cabin Crew,0.891331738,Compliments,0.989245731
Cup was found stained in the lunch meal tray            MR Kim found his cup stained with lipstick,neutral,Airport,0.902263864,Outstation,0.830904366
Amazing Leadership skills               Kahori was pulled out to operate as CSV   Kahori Did a great job leading teams on both sectors   Kahori showed excellent Knowledge of services in both JC and YC,positive,Cabin Crew,0.914756957,Compliments,0.987829111
"Highlighting cabin crew outstanding performance           Crew member was observed as really hard worker, she was doing her tasks and duty in professional way, fast ,following the standards  She took initiative to help her colleagues at all time without being asked  Tomoko also was a role model as cabin crew who was really aware of cultural differences and respects , her  positive approach and smile had a positive impact and atmosphere on the Team and customers",positive,Cabin Crew,0.925255463,Compliments,0.993337255
Customer paid for extra leg room and not provided with           During boarding Mrs Marshall complained to crew Anastasia about her allocated seat by ground staff Mrs Marshall prepaid 185 AUD form the seat with extra leg room and even presented the receipt form the crew Anastasia,neutral,Airport,0.966542581,Outstation,0.949623205
"Customer moved with an infant           Customer originally seated in 23D was moved to 26 H as there were other 2 infants seated in this row, not enough oxygen masks for this row",neutral,Security,Please manually Review,Security Search,0.911136025
Customer complain        Customer complained that his screen did not not work properly before service,negative,Cabin Crew,Please manually Review,Compliments,0.898152407
"Chatni was missing         We were only given yogurt for the breakfast ,green chutni  was missing even though it was mentioned in the menu No customer complaint",negative,Product Development,Please manually Review,YC SSQ Errors,0.985927867
"Waiting for his kids to disembark            Mr Al Dabbos was traveling with his family members (wife and 3 kids)  His kids were seated in AFT JC cabin   As he requested to disembark first and with his family members, I suggested if I can place",neutral,Emirates Skywards,Please manually Review,IO customers,0.992953004
SPML cake         SPML cake and champagne bottle delivered,positive,Product Development,Please manually Review,Ground to Pur Msgs,0.978435452
Shortage of Male Kitbags            We were missing 7 Male kitbags out of 54 male customers   One of the customers male kitbag was already opened when he received his kitbag,negative,Airport,Please manually Review,Outstation,0.990485186
No Chocolates were available on this flight                 Chocolates could not be offered for on this sector since there was none,negative,Product Development,Please manually Review,JC SSQ Errors,0.902995141
NIL sales          No sales were made on this sectorCrew members:Junko Maeda SN : 298804Meng Wei Hu SN: 436235,neutral,Duty Free,Please manually Review,DF Done Nil Sales,0.88455016
Meal proportion      The meal choice proportion for today's flight was 60%Chicken machbous and 40%Lamb More than 70% of the customers wanted to have the chicken meal choice and there was shortage as a result This is to suggest if we can incre,neutral,Product Development,Please manually Review,Ground to Pur Msgs,0.786376098
Meal ingredients          Just for your info it will be better if the SPML will be loaded with sticker mentioning the ingredients of the SPMLs,neutral,Product Development,Please manually Review,Ground to Pur Msgs,Please manually Review
Lemon not loaded in crew cart        Just for your information the lemon slices were not loaded in YC,neutral,Product Development,Please manually Review,YC SSQ Errors,Please manually Review
Just for your information on the menu it shows that we were supposed to serve the Brown rice salad with lentils and feta for appetiser however what we had on the meal tray was different it was rice corn green and pepper,neutral,Cabin Crew,Please manually Review,Compliments,1
IFE not working           Ms Torres' IFE was not working after take off   Reset was done a couple of times but still not working   offered another seat to the customer but customer preferred window seat,neutral,Emirates Skywards,Please manually Review,Product Feedback,0.945601386
IFE not working           Mrs Bartholomew's IFE was not working after take off  We tried to reset the IFE five (5) times  IFE reset and seatbox was done but IFE is still not working   Offered her another seat but she dont want to be apart from her husband   Customer decided to sleep,negative,Emirates Skywards,Please manually Review,Product Feedback,0.959104148
"IFE INOP , CUSTMER INCOVENIENCED         After take off , customer could not use the IFE as the screen went frozen  Customer could not watch IFE through out the flight",negative,Airport,Please manually Review,Dubai,0.964220436
"Duty Free item was not working           While introduction MrLeenen inform me his USB Charger was not working and he bought it only three days ago,  When he asked to change or refunded crew explained he had to do it when he lands in Dubai needs to contact CASA for refund",negative,Airport,Please manually Review,Dubai,Please manually Review
"Date on the survey       I have noticed that the date boxes on the Arabic survey form are placed in the wrong order:the boxes are displaying the year, The day and the month while it should be DayMonthYear",neutral,Product Development,Please manually Review,PA issues,0.969216934
"CUSTOMER VERY HAPPY WITH CREW MEMBER             Customer requested for Espresso martini and Irena made the drink slightly different  by not adding vodka  She prepared with Tia Maria double espresso ice and shaken for foam,all the customer in",positive,Cabin Crew,Please manually Review,Compliments,0.944530083
CUSTOMER UPSET DUE TO IFE INOP         Customers ice screen did not respond to touch functions  Customer was inconvenienced due to this,negative,Airport,Please manually Review,Dubai,0.963986964
Customer started having fever during the flight                            (MIRF 394288) It was brought to my attention by cabin crew member Sara (436574)  that customer travelling with his mother started having fever right after the first servic,neutral,Medical,Please manually Review,Passenger,0.97277856
Customer Not Happy with Previous Sector           Ms Alolayan stopped me while she was boarding and asked for a complimentary upgrade She advised that she had been unable to travel from JFK due to weather and that she had upgraded on the previou,negative,Emirates Skywards,Please manually Review,Transactions,0.865499606
Customer impatient for the service      Whilst doing the mattresses the customer asked for a drink and the crew informed him when she is finished she will bring him his drink The customer then said how long will this take? The crew said approxi,neutral,Security,Please manually Review,General,0.962681639
CUSTOMER DID NOT RECEIVE AVML       During the Lunch Service Ms Jagmohun brought it to our attention that she had ordered an AVML when confirming her booking however she did not receive it,neutral,Emirates Skywards,Please manually Review,Transactions,0.990226746
"CUSTOMER COMPLAINING THAT PAID SEAT ARE WERE TO BUSY        Mr Harrisson stated to me that he is not complaining about the cabin crew as they were amazing,he stated that his only concern were the fact that he Paid the seat at 37HJ and did not re",neutral,Cabin Crew,Please manually Review,Hotel Feedback,1
BLML complaint          Customer complained that they did not receive BLML(it was waitlisted)  Customer requested caviar from first class,negative,Emirates Skywards,Please manually Review,Product Feedback,0.893044273
TRAY TABLE BROKEN         Mr Sharaer highlighted during the service that his tray table was broken Tray could be use but the second furthest part was uneven and meal tray was very unstable  Customer contact details: bshraer@yaru,negative,Airport,Please manually Review,Dubai,0.990395935
SPML MISSING         Ms Martin claimed she had a VGML ordered however it did not show on the system  Ms Martin complained that her journey has not been nice as her flight booking was changed and this affected her meal order  She claimed that she only had soup on her previous flight NBODXB and so was very hungry  During the initial drink service customer thought crew taking orders on the RHS side ignored her as she skipped her,negative,Cabin Crew,Please manually Review,Complaints,Please manually Review
KIS REPORT CONTINUTED            CUSTOMER REFUSING TO RETURN TO YC SEAT    Captain told me to inform Miss Al Rasheed he would hold the aircraft until she complied with the instructions to go back to her original seat and would return to stand w,neutral,Safety,Please manually Review,Passenger Behaviour,0.976991812
Immigration delay          All crew had to wait 2 hours 27 minutes by the immigration office as the system was down and it took lot of time to be restarted   Kiosks were unavailable to be used as the entire system was affected  Ground staff in,negative,Airport,Please manually Review,Outstation,0.9659621
Broken glasses on  trays         One cart has 5 Traylor broken glasses on trays   We were short of 5 trays as food were contaminated by glass,negative,Product Development,Please manually Review,Ground to Pur Msgs,0.97923153
MrChakraborty asked at the boarding if his daughter can sit on his seat inJClass           We accommodate his request to make his daughter happy,neutral,Airport,Please manually Review,Dubai,0.903901178
Customer did not want to have the lamb choice       During the breakfast service it was brought to my attention by cabin crew member Camilla (456062) that her meal cart was left with the lamb choice eventually  Mr Baranov refused to have the la,neutral,Cabin Crew,Please manually Review,Hotel Feedback,1
Closest heading             The Arabic coffee pot had a broken spout I requested a replacement pot,negative,Airport,Please manually Review,Outstation,0.839960624
All outbound toys bags used             Please note as there were around 100 children on board  all the outbound toys bag were used up and most Children wanted to have a back pack which was impossible to provide,negative,Product Development,Please manually Review,Ground to Pur Msgs,0.828974754
Toilet 3MF at ML3 Inop for service             Toilet had to be locked for the entire flight do to inoperative water faucet which had no water coming out of it,negative,Safety,Please manually Review,Passenger Behaviour,0.895938478
change of seal           After closing duty free and sealing it I realised I left my DF pouch inside,negative,Airport,Please manually Review,Dubai,0.966669235
"Upper deck equipment not loaded               During the galley handover, the crew found that the several containers of water, minerals, amenities, meal carts, special meals etc in the upper deck galley were not loaded",neutral,Product Development,Please manually Review,YC SSQ Errors,Please manually Review
"SERVICE RECOVERY                  Just after take off, Mr Almeida informed cabin crew Adam (447911) that water spilling from the galley ice drawer had gotten his socks wet",neutral,Cabin Crew,Please manually Review,Payroll adjustments,1
SEEMED UNIMPRESSED                 Mr Petersen  initially was not impressed that we had to do breakfast before the drinks service During breakfast service he suggested to have blood Mary drinks before his breakfast instead After breakfast c,negative,Cabin Crew,Please manually Review,Compliments,0.982721809
Customer 9E feedback             Customer sitting 9 E Mr Osama Salamah ((971503228244) insist to leave his contact because in case you want to confirm about crew performance) he wants to say thank you for the whole business class team   He,positive,Cabin Crew,Please manually Review,Compliments,Please manually Review
"IFE             1 hour after take off, Ms Hammarstrom informed crew member that her mode controller was not functioning properly",neutral,Cabin Crew,Please manually Review,Compliments,0.790392242
VJML REQUEST               Mrs Joshi claim that she request for VJML when she purchase her ticket few months ago VJML was not provided,negative,Airport,Please manually Review,Dubai,0.967629526
VJML REQUEST               Mrs Joshi claim that she request for VJML when she purchase her ticket few months ago VJML was not provided,negative,Airport,Please manually Review,Dubai,0.967629526
"WAS NOT IMPRESSED WITH MEAL CHOICE         Mr Rajangam was not impressed with fish choice offered on the menu though he requested during dinner service Claimed even the service was not that great,stating that he wanted some peanut and",negative,Cabin Crew,Please manually Review,Compliments,1
IFE INOPERATIVE                 Mr Broadbanks stated that his IFE was Sticking  Customer was previously seated at 8J,neutral,Airport,Please manually Review,Outstation,Please manually Review
