description,sentiment,PClass,PConfidence,SClass,SConfidence
"All Cabins, Flight delayed      Flight was delayed at departure due to technical problem timeline as followed  STD 15:40  ATD 17:12  14:55 cleaners finished and left the AC  14:55 crew started their security search  15:10 security search finished  Boarding clearance not given due to technical problem (as advised by the captain), FAPs and other cockpit systems INOP, therefore engineer was working on that  16:25 Technical problem fixed boarding authorized by the captain  16:30 First customer on board  17:00 last customer boarded  17:05 last cabin door closed  17:12 push back",negative,Airport,0.8695024597598169,Outstation,Please manually Review
ALL CABINS    flight was catered for 06 35 275 Last minute bookings accepted out of MED load 08 42 281 Customers were briefed regarding the trays by the ground stuff,neutral,Product Development,Please manually Review,Ground to Pur Msgs,0.9857078272243891
"ALCOHOL SERVICE SUSPENDED     Miss Adams came on board intoxicated Upon talking t her, she displayed a slurred speech but still could make proper sentences while responding my questions She stated she was jetlegged",neutral,Security,0.9803859397402175,General,0.9802395485789763
"A380 SERVICE PROCEDURES     15 minutes after take off, Mr Narula asked to speak to the supervisor as he did not understand why one of the crew members, Kevin with ML4A position took drink orders to the customer behind him and not to him CONTACT DETAILS ON FILE",neutral,Security,Please manually Review,General,0.8897824618082135
A SPML request  : VGML,neutral,Emirates Skywards,Please manually Review,Product Feedback,0.913258797149457
A customer's comment regarding a service speed in the YC     Dr Turlakow commented that she needed to wait about 1hour and 30minutes for the dinner service after take off The customer also commented that no one served her something to drink or eat after take off,negative,Security,Please manually Review,Security Search,0.8172259193774981
A CHML request     The customer would like to order a CHML for the future flight on 17042018 from DAC to DXB,neutral,Airport,Please manually Review,Dubai,0.9914594089997966
"84 minutes minute  delay departure and ovens malfunctioning        Linens done the length of the cabin, as we had many customers complaining that they were hungry in the rear cabin  CSV and Purser helped to place the trays and to clear, in order to f",neutral,Product Development,0.7969182423722158,Ground to Pur Msgs,0.989623405303822
"5 CUSTOMERS SEATED WITH 4 OXYGEN MASKS AVAILABLE      There were 2 adults, 2 babies (on their laps) and a child sitting in 43H,43J and 43K  There were only 4 oxygen masks available in that row",negative,Airport,Please manually Review,Outstation,0.9334625066065445
"4 YO GIRL OFFLOADED DUE TO MEDICAL CONDITION      After push back, Mr Gonzalez (68F) approached crew member and shared that his 4 yo daughter Zoe (68G) had just vomited for the second time  She vomited on her previous flight (MRU to DXB), approx 3 hours onto the flight  She took her own medication for vomiting (PREMOSAN syrup) 3 hours before boarding together with her last meal (chicken nuggets)  No known allergies and no medical history  No Purser note from previous flight mentioning medical condition   Zoe appeared hot, flushed and tired  Temperature: 385 degrees",negative,Medical,0.8341253182020096,Passenger,1.0
"3months pregnant customer vomited 9x during the flight    At 1430GMT customer Informed me she had vomited 6x since take off  While I was in flight deck calling the medical support, the customer vomited 3x more",negative,Medical,Please manually Review,Passenger,0.9892811279615543
2ND SAFE TALK QUESTION      She was unable to answer the GMT question regarding location of pocket masks,neutral,Security,Please manually Review,General,Please manually Review
2ND SAFE TALK QUESTION      He was unable to answer the GMT question regarding the condition related to discomfort in the upper abdomen,negative,Security,Please manually Review,Security Search,Please manually Review
2 platinum Customers complained that there was no more occidental meal choice      We offered 2 Arabic choices and an Asian one,neutral,Product Development,Please manually Review,PA issues,0.9581899150477138
"2 Ovens INOP in economy class Front Galley   No customer complain        On today's flight, this aircraft configuration had 4 ovens in the economy front galley instead of 6 ovens  2 Ovens out of the 4 ovens were INOP  Dinner service was delayed by 45 mins, than it's original timing  Dinner service started 1 hour 15 mins after take off  As meals were frozen it took more time to be fully heated",negative,Product Development,Please manually Review,Ground to Pur Msgs,0.7855052452802025
2 LOST & FOUND FORMS LOADED PER LOST & FOUND BAG     Only 1 form is required and other one is wasted Suggest putting just 1 form inside each bag to avoid wastage and reduce costs,negative,Product Development,Please manually Review,Ground to Pur Msgs,0.764209604768178
1hr rest due to 3h 28 minutes delay      Capt used his discretion to give crew 1 hour rest on hard blocked seats as he had to use his discretion to extend crew rest  Total duty time on ground for crew was 6h 28 minutes,neutral,Safety,Please manually Review,Crew Procedures,0.9333846071695966
1 tin of caviar missing     As per the paperwork there should have been 12 tins in the container for GLA  DXB flight There were only 11 tins Previous paperwork stated that there should have been 12 tins on our flight There was also no white seal left for us to seal the container with as both white seals seem to have been used on the previous sector No note or hand over form was left tor written about this There were no white seals left so we sealed it with a green seal into Dubai seal A010489728,neutral,Airport,Please manually Review,Dubai,0.7694437310498156
"Yogurts were Not Loaded on Breakfast Trays      While preparing the tray for the breakfast service, I noticed that there are approximately 5 trays that does not have a yogurt on it",neutral,Product Development,0.7765643437659412,YC SSQ Errors,0.9812397865404997
"Wrong SPMLs loaded for the flight       KIS tablet and PIL showed that customers ordered 1 FPML, 1 VJML and 1 VGML, but instead 2 AVML and 1 RVML were loaded;  The menu from the carting staff had information about 2 AVML and1 RVML as well",neutral,Product Development,Please manually Review,Ground to Pur Msgs,0.9701539707072983
"Would you please delete CHML from her profile       Mrs Eljack, Mother of Miss Eljack, claimed that her draught is getting served with CHML although they have tried to cancel CHML by speaking with Emirates staff   Miss Eljack is grown up and would like to choose her meal options from the menu card   Once again please, delete CHML from her profile",negative,Emirates Skywards,Please manually Review,IO customers,1.0
VGML request      Please provide a VGML to Mrs Lor,neutral,Emirates Skywards,Please manually Review,Product Feedback,Please manually Review
VGML NOT AVAILABLE      Mrs Linossier claimed the she requested for a VGML  however her meal was not catered,neutral,Airport,Please manually Review,Dubai,0.8345302184314106
Using FC toilet         Mrs Coninx went to FC to use the toilet in that cabin as she had been waiting for the toilet in JC for more than 10min,negative,Safety,Please manually Review,Smoke Detectors,Please manually Review
"Used jam jar on breakfast clean tray     On one of the Continental breakfast tray,  which was given to the customer, there was a jam jar  opened and used",neutral,Airport,Please manually Review,Dubai,0.953921779331896
"Usage of Medical Oxygen   being a MEDA case, Mr Ahmad had 5 bottles of medical Oxygen loaded for him to use throughout the flight;  until we landed into JFK, Mr Ahmad used 2 bottles of medical Oxygen;  serial number of the Oxygen bottles: LS 5809 and MNB 2440",negative,Airport,Please manually Review,Outstation,0.961502025373713
UN WELL        Mrs Millar vomited during take off time and was not feeling very well after wards  She was having mild abdominal pain   She was offered anti acid tablet from amenities as she claimed she was having heart burn as well,neutral,Medical,0.8389336990305096,HRK,1.0
"TOYS LOADED FOR THE SECTOR NOT ENOUGH      3 bags of toys were loaded in economy class for Dubai   Dusseldorf sector Children on the flight were 42 in total Toys were not enough and about 10 children did not have toys,",negative,Airport,Please manually Review,Dubai,0.9590486497347108
"Towels Not Completed      We encountered moderate turbulence during the HB service and were asked to remain seated until cleared for duty, so therefore towels were not completed  Priority was given to cabin securing in preparation for landing",neutral,Product Development,0.7702587556441508,Ground to Pur Msgs,0.7986176992740803
Title NA    MEDICAL SERVICES FEEDBACK  Medical services were contacted when on ground in DXB regarding a seven year old girl who had just vomited The doctor who spoke on the line advised for sips of water to be given and then to wait for 5 10 minut,neutral,Medical,Please manually Review,Passenger,0.8470137009648124
The customer did not get the cheese board as he requested     The customer requested for cheese board after his meal but we did not have enough of cheese board to serve him,negative,Product Development,Please manually Review,Ground to Pur Msgs,0.796695911180549
"TB 3111615528  inoperative       Tablet is not connecting to the netgear router on board, but connected to the wifi at the hotel, ahlan network and airport wifi  No comments and incidents that I wrote on the previous sector, was received by the purser  Two MFP was also written on the last sector, as the tablet has been faulty, I am not confident that it would reflect for these crew members  The food and beverage application also was not connecting",negative,Product Development,Please manually Review,Ground to Pur Msgs,0.9880207603715503
Spoilt AVML and VGML trays       I found the salad on one of the AVML and one VGML tray was floating in water,negative,Airport,Please manually Review,Outstation,0.8141413697297312
SPML very bad content       During my catering checks on ground I noticed that the SPML light bites options were very poor quality The AVML consisted of one small round  sandwich and the GFML was one tiny green apple  There was no sweet treat for the SPML customers and looked bad to deliver this as a service,negative,Product Development,0.7606675458850776,PA issues,Please manually Review
Skywards miles being expired       Mr Johnson had 9275 Skywards miles being expired by the end of January 2018;  Mr Johnson was informed about miles being expired,negative,Emirates Skywards,Please manually Review,Product Feedback,0.9918603169327945
SHORTAGE OF THE BEEF OPTION       As per the percentage only 30 percent beef was loaded while the rest was chicken There was a shortage of beef option as customers preferred the beef option Approximately 15 customers were declined the beef option,negative,Product Development,Please manually Review,Ground to Pur Msgs,Please manually Review
Shortage of cheese board     We catered 7 cheese board in J class but there was more demand of cheese board on the flight,negative,Product Development,Please manually Review,Ground to Pur Msgs,0.9882799925108516
"SERVICE DELAYED DUE TO THE TURBULENCE    During the lunch service and due to the turbulence the service was suspended according to the captain's instructions the following customers were unhappy regarding this incident ; Mr Supe 8B, 19D Mr Osborne",neutral,Product Development,Please manually Review,YC SSQ Errors,0.825820697460845
"Seating issue for customer based on medical condition    Spoke with dispatcher regarding the customer travelling with on the flight   The dispatcher had followed up with the customer   The dispatcher informed me that customers were not able to travel unless they purchased a business class ticket for their son   PRO at Dubai airport had spoken to the customer and had made an agreement to allocate customers a bulkhead seat   As the seats had already been issued to other customers, Cabin  Crew in Economy Class had rearranged customers to 20HJK   Customer happy with the move and continued their journey",positive,Airport,Please manually Review,Dubai,0.9694934102710387
"Seat not staying upright      The son of Mrs Vaid is the one who was sitting on 62D and his seat was not staying upright, it was reclining itself without pressing the button",neutral,Security,Please manually Review,General,Please manually Review
SEAT NOT RECLINING FULLY      MrTurner's seat was not fully reclining,neutral,Airport,Please manually Review,Outstation,0.9814796677452008
Seat did not properly recline before take off,negative,Security,Please manually Review,General,0.9409644993824337
Seals not available         There were no seals available to close the containers and bars in JC and YC,negative,Product Development,Please manually Review,JC SSQ Errors,Please manually Review
screen not working          Mrs Hofmann screen was not working,negative,Safety,Please manually Review,Passenger Behaviour,0.8381764784828043
Said She Ordered VGML But Not Catered       Ms Tjellesen said she ordered VGML however no records shown on our PIL She is travelling with a tour group of 10 people who all ordered VGML and got it on their connection from CMB DXB,neutral,Airport,Please manually Review,Outstation,0.9713402658643983
Said She Ordered VGML But Not Catered       Ms Navne said she ordered VGML however no records shown on our PIL She is travelling with a tour group of 10 people who all ordered VGML and got it on their connection from CMB DXB,neutral,Airport,Please manually Review,Outstation,0.8937571606513092
Requesting to Use First Class Suite     Ms Lu requested to use first class suite to pump milk using the seat socket as she was breastfeeding,neutral,Safety,Please manually Review,Crew Procedures,0.8738499621046384
Request for AVML    Mrs Selvachandran wants to have AVML for onward flight  Customer is returning to LHR on the 11th Feb 2018  Customer was unable to show us the booking reference as she affirmed she could not find it,negative,Security,Please manually Review,Audits,Please manually Review
"Request AVML      Mrs Bhatt insisted she ordered AVML during booking, and she always had AVML last 4 years whenever she flew with emirates, however there was not AVML request under her profile",neutral,Emirates Skywards,Please manually Review,Product Feedback,0.986540333411868
REMOTE CONTROL ANF IFE NOT FUNCTIONING      MrMotala informed cabin crew of his TV system flickering and remote control not working,negative,Airport,Please manually Review,Outstation,0.8196484168018825
Refusal to comply with the cabin securing for landing       During cabin securing for landing Mr Alqahtani seated in 38E refused to sit his child properly for landing  Crew member Marina (452140) was securing the area and tried to assist the custome,neutral,Safety,Please manually Review,Passenger Behaviour,0.9796816214574455
Quality and Selecting of Salad Leaves       During my interaction with the customers in First class they asked about the change in the green salad leaves selection,neutral,Cabin Crew,Please manually Review,Complaints,0.9792173262206486
Pre DEPARTURE SERVICES completed after Take off          Due to short taxiing Pre departure: Water cuplets  Toys Menu services were completed after take off,neutral,Product Development,Please manually Review,Ground to Pur Msgs,0.9660241492452342
"Positive feedback on Grilled Beef steak        Mr Small approached me after lunch service to provide positive feedback for the Beef steak  Mr Small said: The beef was excellent, very tender and juicy",positive,Cabin Crew,Please manually Review,Compliments,0.9653341971896118
PLEASE CHANGE SPML Custom prefers to have FPML Please change on system,neutral,Emirates Skywards,Please manually Review,Transactions,0.9763666056098973
PAYROLL ADJUSTMENTS      Crew member Fausto (452629) worked as a GR1 on the return sector from LHR DXB,neutral,Cabin Crew,Please manually Review,Compliments,1.0
PAYROLL ADJUSTMENTS      Crew member Fausto (452629) worked as a GR1 on the return sector from LHR DXB,neutral,Cabin Crew,Please manually Review,Compliments,1.0
"OnAir access problems       During the flight Mr Kluen asked me several times to help to connect to the OnAir network, stating that after purchase of package for 999, Mr Klein managed to use internet for very short period of time and then system was logging off Mr Kluen and offering to purchase another package;  Purchase details:Internet OnAir reference no: 30483176Registered e mail: nileskluen@gmxnetDate of purchase: 07012018Flight: EK730",neutral,Security,Please manually Review,General,0.8910657377318523
"Offered other choices instead of CHML      Even Mr Joshua was old enough to have normal meal, he has allergy about nuts so he did not have choice instead of ordering CHML however he did not want it He asked crew if he could get other choice instead of CHML during boarding",negative,Airport,Please manually Review,Outstation,0.9285158861565291
"Offered her bottle of water      Mr, Mrs Deaton was traveling with 6 children which was difficult to hydrate them all the time So we offered the family bottle of water and keep fill it The family was such a adorable so please assist them to continue their journey comfortably",positive,Cabin Crew,Please manually Review,Payroll adjustments,1.0
"not used      Due to extra meals and trays uploaded from AMM crew was informed not to use MOD Drink, meal and dessert choices were taken manually giving priority to original JC customers",neutral,Product Development,Please manually Review,Ground to Pur Msgs,0.9900378642959481
Not happy that the meal service is not flexible     During the lunch order customer informed the crew that he would like to have his lunch at later stage on the flight Customer made a comment that  the hot towels that were served as pre departure  were not having enough lemon cent Customer said  that on all his flights the crew are serving his meal whenever he wants and its first time that crew are not flexible with him,negative,Product Development,0.7784068401845932,Ground to Pur Msgs,0.988368954299617
Non compliance with safety instructions     Above customer on boarding asked for an extension seat belt for herself  Customer was observed before landing into KHI having her 10 years old child on her legs using the extension seat,neutral,Safety,Please manually Review,Passenger Behaviour,0.9548158519271922
No Hot Beverages Were Served On The Bars    Due to the turbulence we could not do hot beverages on the bar for the breakfast service,negative,Product Development,0.8270841037032496,YC SSQ Errors,0.9880312962790582
"Ms Gottlieb appeared annoyed while I was greeting farewell to her and her husband      During boarding, I assisted Ms Gottlieb in stowing her large size hand carry in FC seat 4A due to there was no space in the hatracks around her seat I greeted Ms Gottlieb straight after taking off by introducing myself to her, and yet her husband, Mr Gottlieb (Platinum HVC) had already fallen asleep They both woke up when the seat belt sign turned on for landing While I was checking on Mr Gottlieb if he was fine and if he wants a glass of orange juice, Ms Gottlieb got annoyed by saying they know everything and they will let me know if they need anything",negative,Airport,Please manually Review,Dubai,0.9453395692226996
Mrs Basu was upset as tray table was not clean       Mrs Base during service claimed that her tray table was not clean,negative,Airport,Please manually Review,Outstation,0.988248755068026
MOBILE PHONE FELL INSIDE THE SEAT     Miss Fazlani's phone fell inside of the seat and she called the crew to help her retrieve it,neutral,Airport,Please manually Review,Outstation,0.929074356973171
MISSING ROUTE SPECIFIC CONTAINER             During catering checks it was noted that the route specific container was missing  This container usually has alternative mixed nuts and after meal digestives that are offered in the service,negative,Product Development,Please manually Review,JC SSQ Errors,Please manually Review
Menus were loaded wrong in the MOD and KIS tablet than the real catering and menu,negative,Product Development,0.7643210143842987,Ground to Pur Msgs,Please manually Review
Medical Incident Report 363617      One hour from landing Mr Elnashar stated that he feels difficulty in breathing after he having his dinner,negative,Medical,0.752860331531712,Passenger,0.9884205716753873
"Make Up Shortfall Due to Irritation      Yauheniya experienced eye irritation with mild swelling, redness and little itchiness  She suspected it may be insect bite or irritation due to make up  She was unable to put eye make up to avoid worsening it  The irritation was not obvious through her eyeglasses and no one noticed it until she informed me  She also confirmed that her vision is not compromised at all and she was fit to fly",negative,Medical,Please manually Review,Crew,0.955573173427949
