description,subcategory,,a
"Mrs Griffon appeared emotional   After boarding I went to speak to Mrs Griffon she acknowledged me however it was evident that customer tried to avoid direct eye contact and was not interested in talking to me  When I returned to the galley first class crew informed me that Mrs Griffon appeared emotional and was seen in tears  After take off when I presented the menus, customer took the menus and declined any drinks  Throughout the flight customer appeared emotional at time to time She was seen talking to her partner at 1F and her partner consoling her  Crew informed me that customer declined any give away items initially and later requested it, as there were only 3 female kit bags been supplied and all 3 had been given to other customers, Mrs Griffon offered a male kit bags which she accepted it  Crew informed she accepted meals offered to her  On disembarking noticed customer thanking crew with a smile",Duty Free Items,,917
"Mr Marco claimed disappointment and unhappiness about the flight  on ground customer was welcomed by CSV Francis who also apologized in calm manners to the customer regarding the shortage of the fast track customer pressed the Call bell and I went to attended it to find out the customer stating to me in rough voice tone  this is unprofessional ,I'm stuck here in the worst seat and I never offered any options regarding my seat ,I'm not happy ,find me away to get my fast track, what is wrong is happening with this journey ,I paid for this service so I must get it and no excuses are accepted I tried to calm the customer by apologizing but he stated  I will accept your apology if you are my friend but I paid you money to give me service so where is it  customer stated either I get my fast track or get my luggage down I don't wanna be on this flight I will wait for the next flight and fly with my girlfriend",Duty Free Items,,915
Crew member Qingwei 454115 sold duty free item number 2057 Fervor Montreal Divine Eye watch to customers It was sold from cart number 162 (MR3 duty free cart) Customer name  Mr LeiXue CAI seat number 86j They purchased using their credit card Just prior to descent they informed Quinwei that they wanted to exchange the item for another identical item as they said the watch that they received did not look properly finished as it was in the magazine ( crystals along the watch strap were not in a straight line) Due to time constraints Qingwei made an agreement with them that when she next came to china she would post the item directly to them Qingwei then took the item from them and placed it back in the cart instead of keeping the item with her She did not process the refund of the credit card as she said she would replace the item personally so that she could inspect the quality before giving it to them,Duty Free Items,,914
Customers GOLD skywards profile is not being recognised in the system    During boarding customer complained to me that his gold skywards status is not coming up in the system  He stated he has been a skywards member for 17 years and this problem has been happening for the past few months He believes his profile has been hacked by an online hacker   Customer wishes to be reimbursed for the miles he has lost and for the internet he has had to pay for onboard  Customer showed me his membership number  Customer showed me his email correspondence with the emirates data intelligence team and skywards which was originally sent on the 22122017  He states he has also sent an official written letter to the company  Customer wishes for this problem to be rectified immediately  Customer contact details are as follows:Mr Ali OdehSkywards Mem  EK00101530586Phone: 962795697770  19548428845E mail: aliodeh2@yahoocom,Equipment,,913
"DF 846 I was assigned as DF operator for the flight and I had some sales Items codes: 1931, 2085, 1946, 1963, 2049, 2190, 2099, 1964 1) While I was selling one of the products to our customers, my DF machine was showing the item 2049 as 'nil', even though I had the product in my cart I transferred the product from the crew Yasmim in the machine, physically took the item from her cart and sold it to the customer Therefore, there was still one item 2049 remaining on the cart by the time I closed it 2) After having done the bar paperwork and sealed the DF cart correctly with the seal from the pouch, I realized I had forgotten to put the C209 paperwork inside the cart Then, I broke the seal, put the C209 papers inside te cart and sealed it again with a regular seal from the amenities container All the papers regarding to DF are going to be delivered to the cashier once I am back to Dubai, on July 05th",Duty Free Items,,910
"Credit Card No Approval           Mrs Odonnell got upset when she cannot make a 2nd purchase with her credit cards Error message appears on the HHC and it froze when the card is swiped again   Crew member 452710 Oana has sold one item with the same credit card and sale was accepted after several attempts with the same card and 4 other credit cards prior, with some credit cards not signed   Customer got upset when manual transaction wasn't offered and wanted to pay with cash but with 20 AUD less than the actual price   Customer claimed that the 2nd item (20458 1) should have been given for free as she claims her credit card is working and it's the system that has a problem   Customer claimed that crew were rude and they don't know anything about duty free   Customer also claimed they had travelled on 4 sectors on Emirates (SYD DXB LHR DXB SYD), and this is the only flight when duty free was offered",Equipment,,910
"Cabin crew member GR1 Oindrila Goswami maximized the use of her language skill (Bengali) to regularly monitor Mrs Saida Begum, seated at 18F, who started to feel unwell at approximately two hours before landing I have observed her genuine concern, great empathy and compassion in dealing with the elderly customer When she came to know that the customer was suffering from gastritis, GR1 Oindrila made sure that the customer had something to eat and drink She also stayed with the customer for some time to offer comfort and reassuranceAs she was working in business class, she readily informed the economy class team about the sick customer and made herself readily available whenever there was a concern raisedUpon disembarkation, she offered assistance to the elderly customer and informed the special handling staff about her conditionAccording to GR1 Oindrila, the customer felt better prior to landing",DF Done Nil Sales,,907
"Feedback   MURCURE HOTEL on Stevens, Singapore    The hotel for all crew in Singapore changed to MURCURE ON STEVENS, since end of December 2017 The rooms allocated for all crew, except CAPT and First officer, was found to be extremely small and compact There was no table available to keep your belongings, to have a meal or to work on There wasn't any designated space or standstool for suitcase, thus it had to be left on the floor, which took away the little space available to walk around the bed The bathrooms were very small and compact It was quite difficult to find a space to keep your toiletries as there was no counter top in the bathrooms At least 6 crew, including my self, did not have hot water in the shower or wash basin taps Internet services, thus not considered essential, but helps to complete any left over reports and VRs from flight, was very poor and kept disconnecting on and off",Equipment,,905
"Excellent performance      He is extremely motivated to work and help people   Before boarding he did organize all the bars by placing mix minerals inside Prepared the juices, tea and coffee   Communicated with the ground staff to bring more trash compactor boxes, and follow up on his request  During the service he ensured the galley is clean and tidy Compacted all the trash   I observed him while serving customer He was extremely polite with everyone, noting down their request and delivering as soon as possible  He also used German phrases  Communicated with mid galley, ensuring she has enough juice and water for the We Care  Informed me about number of defects, communicated with the PUR as well when needed  He also has excellent knowledge of the service He knows where are different items in the galley, and the rest of the crew are asking him if they need anything  He will be a great leader",Equipment,,904
"Heading Should Read: Alcohol  Not disruptive  ResolvedCSV Pui Kan Wu   375815   has written a separate report regarding issues regarding customer's meal and seat this sectorI was informed of problem with customer's IFE after initial meal serviceI approached customer, apologised and able to have seat working againHowever during second meal service I was passing through the cabin and found customer seated now in 6BCustomer informed me that he had been moved due to continued issues with his seatAnd that had now found a hair in meal he had been eatingCustomer immediately struck me as being intoxicatedHe was very loudSpeech punctuated by swear words such as 'fuck' and 'shit'Words slurredSeated next to customer at 6D was a mother with a young childShe looked repeatedly across as 6B as he spoke to meAs did gentleman at 6ACrew had observed the mother lean across to speak to 6B at some point earlier",Duty Free Items,,903
"Could not close HHC properly DXB IST DF384   After I printed out the sales summary, I run out of the paper, and needed to replace it Then I chose Turnaround Login So I could not print out closing stock   When I opened HHC for this sector EK124 IST DXB, Even though I sold some items on previous sector, The actual number of the items did not reflect on the opening stock It showed Full stock from Dubai catering   The items I sold on EK123 DXB IST is:   2017 BOH5 Earphones x1   2122 Goof Proof Eyebrow Duo Set x1   2141 Morgan Oates Gradient Floral Peach x1   2048 Morgan Oates Leopard Marine x1   2147 PCardin G Watch, Pens, Wallet x1   2151 Revlon Ultra HD Matte Trio x1   1900 Starwalker Urban Speed Ballpoint Pen x1   2097 TRU VIRTU@ Click Slide Hi tech Wallet x1   1896 Victoria's Secret Scent with Love Fragrance Crayons x1 Those items should be deducted from the opening stock for this sector",Duty Free Items,,900
"My position was L2 DF operator, but instead of signing into DF860, I signed into R1(Lilia Ianeva s420992)'s HHC and cart DF859 by mistake So it resulted in Lilia signing into the wrong HHC and cart DF860 as well Both of us didn't realize the mistake, we both did some sales through the wrong HHC and cart On my side, I sold 2164 9 1964 10 which were taken from DF860 containers in JC galley Also, for sales 2186 6 1963 3 1997 5, I am not 100% sure I took out from cart DF859 or DF860 But for sure 2164 9 1964 10 these two items which are from DF860 were processed as sales using DF859 HHC We realized the mistake towards the end of the flight, so as time limited, we had to close duty free using the wrong set of seals So there is very high possibility there will be missing items in DF860 or even DF859 because we took the items out from the wrong cart and processed with the wrong HHC",Duty Free Items,,886
"HHC terminal no BA01128 transfer out software defective   It was reported by Duty free operator Jeoghun450883, that she handed over physically item no 2057 6 (Fervor Montreal Devine Eye Watch) from her duty free cart no DF398 to another Duty free operator Matej439923 of HHC Terminal no BA0075, and duty free cart no DF397 for the purpose of transfer and sale   Duty free operator Matej processed the transfer in on his HHC and handed the receipt to Duty free operator Jeonghun, however, Jeonghun could not process transfer out on her HHC as there was an error message indicating, cannot transfer a higher number of the item despite only one item being selected   The physical duty free item involved was sold to a customer by crew Matej using his HHC, however, it remained reflected in Jeonghun's Closing Stock in HHC BA01128 as the transfer out in the HHC did not process successfully",Equipment,,886
"Following behaviour we're observed  Communicated with CSV Kristina regarding Greta's performance the previous sector, Csv Kristina stated her flight performance was outstanding After flight review was given by CSV Kristina Golubic (420496) for the DXB HKG sector, change of behaviour was observed During her We Care schedule, cabin crew Greta was prompted regarding clearing the cabin with cabin tidy bags Greta questioned Why do we need to clear the used cups, it can be done with the next crew who will do the next We care schedule?  Before Lunch service started,  I mentioned to crew that to wait a little bit in putting hot water in the towels because meals still heating for 10minutes Greta stated Why don't put the hot water now so it could be ready after 10 minutes After the lunch service, Greta was observed wearing plastic gloves in both of her hands while clearing trays",Duty Free Targets,,881
"Upgrade related issue     On board customer claimed that he requested for an upgrade to the ground staff and they said no vacant seat in JC  Customer was travelling with his friends and one of them was gold skywards member and we upgraded him by using his miles  Customer also claimed that he requested for an upgrade before his friend who was upgraded to JC  Customer wanted to use his miles to upgrade, but he didn't had enough mile to upgrade  When offered his requested SPML AVML he claimed that he cancelled it  When crew member requested to wait to cross check the available meal to offer, customer ask the crew are you forcing me to eat this meal  During the flight customer complaint that he is not able to rest due to the lavatory flush sound  Customer took his AVML meal for breakfast   No further complaint or concerned was raised by the customer during the flight",DF not done,,875
"Cabin Crew Qing Yu (s427746) has signed in my HHC from DF cart number 859 She thought 859 was her DF cart So automatically i signed too into the wrong HHC 860 We both realised the mistake at the end of the flight,when i have already closed my DF cart with the wrong HHC and automatically wrong seal numbers  During the flight the only sale i have made i took the item from DF cart 859, drawer 2, Item number 2142 Swarovski Crystalline Pen So my Sales Summary is actually for DF cart number 859 not 860 The problem is that the other Crew Member is not sure from which DF cart number she was taking the items that she has sold So according to Sale Summary there will be missing product in DF cart 860 for sure and maybe 859 as well if she has taken any items from my cart All from my side is that i used the wrong HHC but the sale i did is from 859 and i sealed 859",Duty Free Items,,863
"Towards the end of the main meal service Crew brought to my attention that Customer was asking for many   drinks(Whisky with coke) during and after the service He was served almost 6 times with the same request He was observed gulping down the drinks as soon as it was given to him Customer was moving from his seat(original seat number 30A) many times causing discomfort to other customers on same row Later crew informed me that he came to J class cabin and started opening hatrack Also CSV Rachael informed me after I came from my break that he had 02 matchbox on him , 02 blue pill(medication) and he was holding a matchstick in his hand He also had 02 cigarettes on him The customer on 31E was moved to the last row of Y class on RHS as he was being disturbed  He was also observed disturbing the customer on 31F He also broke the cupholder of seat 31D",Seals,,857
"Customer not happy he was not given 2K seat during check in, claiming he hates 1K due to the noise in the galley     Upon customer boarding, customer wanted to talk to the Purser only and expressed his anger how he was not given 2K when checking in, claiming the check in agent advised someone was seated there  Upon advising Mr Horwill he was welcome to move to 2K, he requested 1K to be reserved for him in case he wanted to move back during the flight   Customer requested a double serving of caviar    Mr Horwill requested a wine tasting of both red and white wine to see what wines he would have with his meals   Upon asking customer how his meal was, Mr Horwill advised he really enjoyed the caviar and wine testing, stating this this is why he loves flying EK as to Qantas   Customer mentioned how the crew and myself had been very attentive to him",Seals,,855
"SIN Crew Hotel Feedback   Mercure Hotel on Stevens Road  Below are some feedback with regards to the crew hotel in SIN :    Rooms are confined and very small (barely any space to place crew suitcase and not enough space in the bathroom to place our personal toiletries)  Remotely located, no close by supermarket, convenient store or pharmacy around the hotel for crew to buy their personal stuff  Room Service Menu selection was very limited  Mini Bar Fridge in the room was not working properly, causing crew personal food getting spoilt and crew had throw away their food  Despite having Do Not Disturb Sign hanging outside the door, housekeepers still entered crew rooms and cleaned their rooms  In my room there were drain flies coming from the shower drainage area and I personally had to kill these drain flies as they were flying inside my room",Duty Free Items,,852
Great feedback     I had a pleasure to meet all FC customers at the door during boarding and spoke to everyone on ground after they were settling in their suite  I introduced myself and my team members Pascale and Jelena to all FC customers  I had a short chat with customers regarding their journey till they arrived to the AC  FG1's offered Menus to the customers however they all declined  I made sure drinks were delivered immediately after take off  I couldn't talk to any FC customers after take off as they wanted to rest  All FC customers were very happy with FC service and overall experience and there was no concerns or suggestion from the customer  On top of decent I spoke everyone about their overall experience and I received great feedback from the customers  Customer looked very happy while disembarking and thanked us for the flight,Seals,,851
"CUSTOMER COMPLAINT REGARDING MILES PURSHASED   5 minutes before closing doors, Mr Belete informed Cabin Supervisor of his interest in purchasing an on board up grade using his skywards miles  Cabin Supervisor, proceeded to consult with the Purser's KIS tablet (which was the only one able of being synchronized at that moment) regarding his available miles  Mr Belete change his seat to 8E by himself before the Cabin Supervisor returned with information about his miles  Mr Belete didn't have enough miles ( missing 2000 ) to proceed with an on board up grade from YJ  After take off I approached Mr Belete, to inform the amount of miles he needed was insufficient  Customer claimed that right before take off he purchased 2000 miles on line to complete the amount that he needed for this up grade  The miles purchased was not reflected on KIS",Duty Free Items,,844
"Information missing from the Station manual for SEZ  file on KIS tablet   Was informed through an extra paper given from briefing desk that the hatracks in the entire aircraft needed to be opened during spraying after boarding had finished, the last door closed and the AC turned off This information is not available in the station manual under SEZ There is no more Health cards for the crew or customers to be filled out, however it is still written under this station No AlcoholDuty Free paperwork was provided to me in regards to the padlock bars and seal numbers we needed to record and provide the Security staff on arrival Nothing was mentioned in the Station manual Security staff stated they usually have a paper provided by DXB where the crew write the seal numbers of the Alcohol containers and carts This was done on a regular paper",Duty Free Items,,844
"Declined use of baby bassinet      During boarding it was observed that customers infant had walked onto the aircraft  Once seated customer asked crew if after take off they could have a bassinet Crew declined and politely informed them that the bassinet is too small for their baby and for safety reasons we ae unable to provide bassinet  As the flight was full, unable to offer an extra seat  During lunch service customer asked to have a hot meal for her baby Apologised and informed her we do not get catered hot meals for infants and offered the jar baby food  During the meal service customer was observed to be changing her baby dirty nappy on the seat whilst customers around were still eating meals Crew politely asked customer to change her baby in the toilets where baby changing facilities are available",Duty Free Items,,815
"EK Airport Services Performance & non co operation: Ground handling staff in BKK informed about shortage of 200 EY & highlighted that the station does not any EY headset to give EK Ground staff Hathaitip was requested to pass information  & co ordinate with DXB to seek suggestionsolution on the issue which she refused to do so as per her Superior's decision Staff Hathaitip refused to provide her superior's name & the reason for the refusal She confidently highlighted to mention her name instead Crew baggage check in 14 mins at the counter printing crew tags one by one on the spot & not much initiative observed to expedite process ETD was 0119 hrs There are shortage of EY items from catering ie savoury biscuits, headsets No delay notification at the hotel for the wake uppick up at the hotel",Seals,,800
"Towels not done before landing As there were many customers' requests for drinks and many call bells during the flight, all the crew were busy answering the call bells and the rest of the crew were conducting the we care cycles up till top of decent Towels weren't prepared by the crew promptly to be delivered on top of decent In addition, I was dealing with an unruly customer situation regarding his alcohol consumption Afterwards I got preoccupied by writing few VRs about incidents that happened on the flight, and when I went to check with the crew if they prepared and delivered the towels they informed me they didn't As the seatbelt came on, it was too late to prepare the towels and deliver them as the checks needed to be passed as soon as possible, I decided not to do the towels",Equipment,,791
"Refusal to show boarding pass     Mrs Robert refused to show her boarding pass at the door stating that she had shown it numerous times already  She was loud and rude while communicating with me                       Mattress Incident     Crew claim Mrs Robert got to her seat, took a mattress from an open hatrack during boarding and laid it on her seat  When crew member Laura (s436243) informed Mrs Robert that she would have to stow the mattress for take off, she refused and said she wanted to sleep  Laura claims that Mrs Robert gave back the mattress in an impolite manner as it appeared that she was throwing it to her and said thanks for the service  Laura further claims that Mrs Robert took the debris from her amenities on her seat and threw it on the seat in front of her",Duty Free Items,,784
"DF done with one cart opened and counted only:   Today's ac was 3 class operating as 2   In JC operating were FG1 as a galley operator and L1 checks and door operator; CSV as R1 checks and door operator; second PUR as L2 in capacity of GR1 and one GR1 in YC   Due to the misplaced availability of the crew, I have requested R2 (operating and actual GR1) to conduct the DF service on the flight, and the service was offered on both sides of the cabin The other DF cart (for R1 DF641) was not opened out of DXB Out of DAC, security search was conducted as per SOP   L2 opened and searched respective DF carts & containers in presence of CSV Ioannis (409883) The cart was then sealed back with a metal seal Again, the DF service was offered on both sides of the cabin by R2 crew member",DF not done,,782
"CUSTOMER WITH SIGNS AND SYMPTOMS OF COLD AND FLU  During cruise, after the meal service, Mrs Al Nuaimi asked the cabin crew for medication for her daughter 6 years old, that is having signs and symptoms of cold and flu for almost 2 days  Mrs Alnuaimi stated that she has the medication for her daughter in the cargo and forgot to get it  The customer, Miss Alia's mother stated that her daughter has fever and needs to give the medication because she is feeling unwell  SAMPLE was taken and the fever scan from FAK was used registering a temp of 27  28 degrees Celsius  The medication ADOL 12ML was used and the mother was informed not to give the second dosage earlier than 4hours in between  CUSTOMER'S DEAILS:   Dubai, Jumeirah 2 , Villa 8                         TEL: 0559505556",Equipment,,782
"Kindly note it was brought to our attention that Mr Hermanns was not happy with the noise coming from an elderly Customer seated in front of himHe was so unhappy that he took out his Phone and started recordingHe questioned whether he was even wellThe elderly Customer was extremely loud whenever he spoke with his sons who were travelling with him and was coughing very loudOn further investigation we came to learn that this elderly Gentleman was quite elderly and we believe his mind wasn't that clear  It appeared he struggled with hearing He was extremely loud and was constantly speaking to anyone who came in his view or tried to assist him As soon as the Service was over he slept however during the Service, Mr Hermanns was not happy and did not want to eat because of it",Duty Free Items,,780
"Excellent customer service skill Josefine is very customer service oriented crew member who initiated a huge number of conversations with our customers During boarding, I saw her talking to customers and getting to know their travel purpose and showed interest in their travel journey She assisted an old lady to find her seat, she carried the bag for her She is genuinely interested in talking to customers, having a smile on at all times  She knew so many stories about customers and their interests  On the return sector, she volunteered to welcome back the high valued customers, she introduced herself to many of them and used their name throughout the flight, which was impressive  Her customers seemed very happy with her service and mainly with her friendly personality",Equipment,,777
FAMILLY ALLOCATED SEPARATED SEATS When boarding Mrs Kobylarz and family took the seats at 32 DEFG even though their boarding passes were for different seats When other customers arrived they found their seats takenWhen I attended the situation a lot of commotion was happening among customers I quickly used my kis tablet and reallocated the other customers to other seats allowing the family to be seated together I informed Mrs Kobylars that she needs to bring to attention of the crew before taking seats that are not allocated to her I also informed that she can purchase seats together in order to guarantee her preferred seats Customer seemed not to agree with me that she has to pay seats to be together Other customer accepted to move to other seats that I offered,Duty Free Items,,772
"General Comment on Customer Feedback for Category 1, 2, 3, 4 & 5First Class Customer Experience Touch Points: Customers were welcomed at the door & escorted to their seat Introduced self & the team highlighting the First Class EK experience & expectations on the flight Menu & wine list distributed & ensured that the FC crew understood the customer’s expectation through interaction with the customer Service checked on customers throughout the flight ensuring that their satisfaction was granted by completing the meal appreciation feedback Before Top of Descent, customer’s feedback about flight experience was very positive & customers really appreciated the attentiveness of the entire team Generally, very positive complements received on this entire journey",Duty Free Items,,768
"First class customer:  Customer was escorted to the suite & made comfortable by me ,and I escorted her husband and daughter to JC cabin  Before take off, introduced myself, welcomed customer & initiated conversation (customer and her husband did fly with me on sector ADL DXB in Christmas day and were so happy with our services)As a nice gesture, we offered husband and wife a champagne from Fc during boarding  After take off, My crew offered menu to the customer and highlighted our dine on demand service as I was assisting my crew in resolving seating issues in YC  During flight assisted my crew in serving customer  Conducted meal appreciation & she was happy   Bid farewell to customer and her family  & customer stated that the journey was very comfortable",Duty Free Items,,765
"Great compliments to crew member Luthando Magagula  443699   It was a great story of Mr Campbell and crew member Luthando Customer was on the flight with us from DXB to EZE During layover in EZE, customer regconised Luthando at the hotel lobby He was happily approached and said hi to Luthando   Mr Campbell said to me that he was very impressed with Luthando, he said that he knew he was very demanding during the flight, he was extremely delighted that all his expectations over met and exceeded His was impressed by the professionalism, friendliness and excellent service that Luthando portrayed, he even suggested Luthando to get promotion to Business class    Mr Campbell later on ask my name and Luthando's full name for him to write a feedback to EK",Equipment,,756
Customer not happy with crew Ms Ng opted for the chicken option during dinner even though she had ordered VGML and crew member Rakeb informed her she was short of chicken Ms Ng claims crew member Rakeb gave her a bad look when she informed crew member to come back later as she is deciding on what to eat Rakeb claims Ms Ng was communicating non verbally as she was watching a movie  Crew claims Ms Ng finally told her Can you come back later after she stood there for a while waiting  for her to decide  Ms Ng did not touch the chicken that was offered to her though she did not decline it when it was offered Crew member Rakeb claims she tried to communicate with her when she went clearing her tray and taking her dessert order but customer ignored her,Duty Free Items,,755
"Unhappy with the seats allocated    Mr Richard informed me that he's not happy with the fact that he didn't receive the bulkhead seats that he booked, claiming that he paid for, having an infant and he can not travel like this all the way to Johannesburg like this  Mr Richard stated that his original flight was one week before, but he rescheduled it  Customer asked me to move the other customers away from the bulkhead so he can seat with his family there  Customer requested to be offloaded  After take off, customer asked me if I can  move one person from the bulkhead for his wife and their infant  During the flight, the IFE from his seat stop working  From  two CHML ordered by Mr Richard, just one was loaded, the other one being wait listed",Duty Free Items,,750
"CROSS CABIN VISITS Mr Alhashimi inquired how to become an IO member and repeatedly informed me that he was a Platinum member When explaining that this was on an invitation basis only, Mr Alhashimi informed me that he would call the Sheikh once we land to get IO status Customer was travelling with his friend who was seated in JC cabin Travel companion came to FC several times and both customers were observed going down the front stairs When crew addressed Mr Ahashimi and explained that visits to FC are not permitted and to refrain from using the front stairs to avoid disturbance to other FC customers he replied by telling crew that he is a Platinum customer Customer was observed consuming alcohol at a rapid pace and seemed to be intoxicated",Duty Free Items,,749
